(pcgenv) dhern167@fedora:~/MinecraftPCG/schema-to-lite/longformerV2$ python layerencoder2.py 
Tokenizer vocab size: 50269
Air token id: 2456
/home/dhern167/miniconda3/envs/pcgenv/lib/python3.10/site-packages/transformers/training_args.py:1545: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
{'loss': 0.059, 'grad_norm': 1.800593376159668, 'learning_rate': 1.98952703058655e-05, 'epoch': 0.02}                                                                                                           
{'loss': 0.0353, 'grad_norm': 0.0037002810277044773, 'learning_rate': 1.978990844053903e-05, 'epoch': 0.03}                                                                                                     
{'loss': 0.0301, 'grad_norm': 0.003494586795568466, 'learning_rate': 1.968454657521257e-05, 'epoch': 0.05}                                                                                                      
{'loss': 0.0249, 'grad_norm': 3.6668012142181396, 'learning_rate': 1.9579184709886106e-05, 'epoch': 0.06}                                                                                                       
{'loss': 0.0249, 'grad_norm': 0.1901325136423111, 'learning_rate': 1.947382284455964e-05, 'epoch': 0.08}                                                                                                        
{'loss': 0.0233, 'grad_norm': 4.948343753814697, 'learning_rate': 1.936846097923318e-05, 'epoch': 0.09}                                                                                                         
{'loss': 0.0226, 'grad_norm': 0.5504626035690308, 'learning_rate': 1.9263099113906713e-05, 'epoch': 0.11}                                                                                                       
{'loss': 0.0232, 'grad_norm': 0.0983271449804306, 'learning_rate': 1.9158158696041556e-05, 'epoch': 0.13}                                                                                                       
{'loss': 0.021, 'grad_norm': 2.9316515922546387, 'learning_rate': 1.9052796830715092e-05, 'epoch': 0.14}                                                                                                        
{'loss': 0.0216, 'grad_norm': 19.54854393005371, 'learning_rate': 1.8947434965388628e-05, 'epoch': 0.16}                                                                                                        
{'loss': 0.0218, 'grad_norm': 2.885707378387451, 'learning_rate': 1.8842073100062167e-05, 'epoch': 0.17}                                                                                                        
{'loss': 0.0214, 'grad_norm': 0.15229976177215576, 'learning_rate': 1.87367112347357e-05, 'epoch': 0.19}                                                                                                        
{'loss': 0.0186, 'grad_norm': 3.6329336166381836, 'learning_rate': 1.863134936940924e-05, 'epoch': 0.21}                                                                                                        
{'loss': 0.019, 'grad_norm': 1.707448959350586, 'learning_rate': 1.8525987504082774e-05, 'epoch': 0.22}                                                                                                         
{'loss': 0.019, 'grad_norm': 1.144670009613037, 'learning_rate': 1.842062563875631e-05, 'epoch': 0.24}                                                                                                          
{'loss': 0.0175, 'grad_norm': 0.04497861862182617, 'learning_rate': 1.8315263773429846e-05, 'epoch': 0.25}                                                                                                      
{'loss': 0.017, 'grad_norm': 1.3878692388534546, 'learning_rate': 1.8209901908103382e-05, 'epoch': 0.27}                                                                                                        
{'loss': 0.0175, 'grad_norm': 0.03466946631669998, 'learning_rate': 1.810475076650757e-05, 'epoch': 0.28}                                                                                                       
{'loss': 0.0199, 'grad_norm': 1.639083981513977, 'learning_rate': 1.7999388901181107e-05, 'epoch': 0.3}                                                                                                         
{'loss': 0.0165, 'grad_norm': 0.15845593810081482, 'learning_rate': 1.7894027035854643e-05, 'epoch': 0.32}                                                                                                      
{'loss': 0.0161, 'grad_norm': 1.2065232992172241, 'learning_rate': 1.7788665170528182e-05, 'epoch': 0.33}                                                                                                       
{'loss': 0.0183, 'grad_norm': 0.41513270139694214, 'learning_rate': 1.7683303305201718e-05, 'epoch': 0.35}                                                                                                      
{'loss': 0.016, 'grad_norm': 0.35945573449134827, 'learning_rate': 1.7577941439875253e-05, 'epoch': 0.36}                                                                                                       
{'loss': 0.0163, 'grad_norm': 0.4558180570602417, 'learning_rate': 1.747257957454879e-05, 'epoch': 0.38}                                                                                                        
{'loss': 0.0137, 'grad_norm': 4.488577842712402, 'learning_rate': 1.7367217709222325e-05, 'epoch': 0.4}                                                                                                         
{'loss': 0.0167, 'grad_norm': 0.08856551349163055, 'learning_rate': 1.7261855843895864e-05, 'epoch': 0.41}                                                                                                      
{'loss': 0.0166, 'grad_norm': 1.5252701044082642, 'learning_rate': 1.7156493978569397e-05, 'epoch': 0.43}                                                                                                       
{'loss': 0.0167, 'grad_norm': 0.12061566859483719, 'learning_rate': 1.705134283697359e-05, 'epoch': 0.44}                                                                                                       
{'loss': 0.0171, 'grad_norm': 0.0005411336314864457, 'learning_rate': 1.6945980971647122e-05, 'epoch': 0.46}                                                                                                    
{'loss': 0.0156, 'grad_norm': 0.0018076782580465078, 'learning_rate': 1.6840619106320658e-05, 'epoch': 0.47}                                                                                                    
{'loss': 0.0152, 'grad_norm': 1.3972852230072021, 'learning_rate': 1.6735257240994197e-05, 'epoch': 0.49}                                                                                                       
{'loss': 0.0145, 'grad_norm': 2.521927833557129, 'learning_rate': 1.6629895375667733e-05, 'epoch': 0.51}                                                                                                        
{'loss': 0.0133, 'grad_norm': 0.5228005647659302, 'learning_rate': 1.652453351034127e-05, 'epoch': 0.52}                                                                                                        
{'loss': 0.0131, 'grad_norm': 0.5891550183296204, 'learning_rate': 1.6419382368745458e-05, 'epoch': 0.54}                                                                                                       
{'loss': 0.0142, 'grad_norm': 0.007070545572787523, 'learning_rate': 1.6314020503418994e-05, 'epoch': 0.55}                                                                                                     
{'loss': 0.0151, 'grad_norm': 0.6897822618484497, 'learning_rate': 1.620865863809253e-05, 'epoch': 0.57}                                                                                                        
{'loss': 0.0144, 'grad_norm': 0.008520339615643024, 'learning_rate': 1.6103296772766065e-05, 'epoch': 0.58}                                                                                                     
{'loss': 0.0129, 'grad_norm': 0.33120712637901306, 'learning_rate': 1.5998145631170258e-05, 'epoch': 0.6}                                                                                                       
{'loss': 0.0145, 'grad_norm': 0.6222625970840454, 'learning_rate': 1.5892994489574444e-05, 'epoch': 0.62}                                                                                                       
{'loss': 0.0145, 'grad_norm': 0.0004027665709145367, 'learning_rate': 1.5787843347978634e-05, 'epoch': 0.63}                                                                                                    
{'loss': 0.0135, 'grad_norm': 1.3463077545166016, 'learning_rate': 1.568248148265217e-05, 'epoch': 0.65}                                                                                                        
{'loss': 0.0151, 'grad_norm': 0.00019872418488375843, 'learning_rate': 1.5577119617325705e-05, 'epoch': 0.66}                                                                                                   
{'loss': 0.0142, 'grad_norm': 0.005429080221801996, 'learning_rate': 1.5471757751999244e-05, 'epoch': 0.68}                                                                                                     
{'loss': 0.0138, 'grad_norm': 0.0001159927633125335, 'learning_rate': 1.5366395886672777e-05, 'epoch': 0.7}                                                                                                     
{'loss': 0.0136, 'grad_norm': 0.37382346391677856, 'learning_rate': 1.5261034021346316e-05, 'epoch': 0.71}                                                                                                      
{'loss': 0.0141, 'grad_norm': 0.07654394209384918, 'learning_rate': 1.5155672156019852e-05, 'epoch': 0.73}                                                                                                      
{'loss': 0.013, 'grad_norm': 0.00012582461931742728, 'learning_rate': 1.505031029069339e-05, 'epoch': 0.74}                                                                                                     
{'loss': 0.0137, 'grad_norm': 0.46599870920181274, 'learning_rate': 1.4944948425366923e-05, 'epoch': 0.76}                                                                                                      
{'loss': 0.013, 'grad_norm': 0.0017570200143381953, 'learning_rate': 1.4839797283771113e-05, 'epoch': 0.77}                                                                                                     
{'loss': 0.0118, 'grad_norm': 0.7840930223464966, 'learning_rate': 1.4734646142175302e-05, 'epoch': 0.79}                                                                                                       
{'loss': 0.0139, 'grad_norm': 0.00015529419761151075, 'learning_rate': 1.4629284276848838e-05, 'epoch': 0.81}                                                                                                   
{'loss': 0.0129, 'grad_norm': 0.7655659914016724, 'learning_rate': 1.4523922411522375e-05, 'epoch': 0.82}                                                                                                       
{'loss': 0.0134, 'grad_norm': 0.003580594900995493, 'learning_rate': 1.441856054619591e-05, 'epoch': 0.84}                                                                                                      
{'loss': 0.014, 'grad_norm': 0.29316747188568115, 'learning_rate': 1.4313198680869447e-05, 'epoch': 0.85}                                                                                                       
{'loss': 0.0136, 'grad_norm': 0.224571093916893, 'learning_rate': 1.4207836815542983e-05, 'epoch': 0.87}                                                                                                        
{'loss': 0.0125, 'grad_norm': 0.0020095629151910543, 'learning_rate': 1.410247495021652e-05, 'epoch': 0.89}                                                                                                     
{'loss': 0.0115, 'grad_norm': 0.5580793619155884, 'learning_rate': 1.3997113084890054e-05, 'epoch': 0.9}                                                                                                        
{'loss': 0.0137, 'grad_norm': 0.0017521644476801157, 'learning_rate': 1.3891751219563592e-05, 'epoch': 0.92}                                                                                                    
{'loss': 0.0119, 'grad_norm': 0.00011413480388000607, 'learning_rate': 1.3786600077967783e-05, 'epoch': 0.93}                                                                                                   
{'loss': 0.0124, 'grad_norm': 0.00034523382782936096, 'learning_rate': 1.3681238212641317e-05, 'epoch': 0.95}                                                                                                   
{'loss': 0.0141, 'grad_norm': 0.19668734073638916, 'learning_rate': 1.3575876347314853e-05, 'epoch': 0.96}                                                                                                      
{'loss': 0.0142, 'grad_norm': 1.0912237167358398, 'learning_rate': 1.347051448198839e-05, 'epoch': 0.98}                                                                                                        
{'loss': 0.0127, 'grad_norm': 8.180068016052246, 'learning_rate': 1.3365363340392578e-05, 'epoch': 1.0}                                                                                                         
{'eval_loss': 0.011046637780964375, 'eval_runtime': 344.5437, 'eval_samples_per_second': 20.407, 'eval_steps_per_second': 10.205, 'epoch': 1.0}                                                                 
{'loss': 0.0123, 'grad_norm': 0.11506638675928116, 'learning_rate': 1.3260001475066116e-05, 'epoch': 1.01}                                                                                                      
{'loss': 0.0111, 'grad_norm': 0.9731119871139526, 'learning_rate': 1.3154639609739651e-05, 'epoch': 1.03}                                                                                                       
{'loss': 0.0115, 'grad_norm': 0.014893852174282074, 'learning_rate': 1.3049277744413189e-05, 'epoch': 1.04}                                                                                                     
{'loss': 0.0134, 'grad_norm': 4.6680874220328405e-05, 'learning_rate': 1.2943915879086723e-05, 'epoch': 1.06}                                                                                                   
{'loss': 0.0133, 'grad_norm': 0.0005858474178239703, 'learning_rate': 1.283855401376026e-05, 'epoch': 1.07}                                                                                                     
{'loss': 0.0131, 'grad_norm': 0.000292582088150084, 'learning_rate': 1.2733192148433798e-05, 'epoch': 1.09}                                                                                                     
{'loss': 0.0115, 'grad_norm': 0.001091287354938686, 'learning_rate': 1.2627830283107334e-05, 'epoch': 1.11}                                                                                                     
{'loss': 0.0115, 'grad_norm': 0.062493253499269485, 'learning_rate': 1.2522468417780868e-05, 'epoch': 1.12}                                                                                                     
{'loss': 0.0114, 'grad_norm': 0.04372251778841019, 'learning_rate': 1.2417317276185059e-05, 'epoch': 1.14}                                                                                                      
{'loss': 0.011, 'grad_norm': 0.6881409287452698, 'learning_rate': 1.2311955410858596e-05, 'epoch': 1.15}                                                                                                        
{'loss': 0.0115, 'grad_norm': 0.0008313810103572905, 'learning_rate': 1.220659354553213e-05, 'epoch': 1.17}                                                                                                     
{'loss': 0.0107, 'grad_norm': 2.862893581390381, 'learning_rate': 1.2101231680205668e-05, 'epoch': 1.19}                                                                                                        
{'loss': 0.0117, 'grad_norm': 0.002228248631581664, 'learning_rate': 1.1995869814879204e-05, 'epoch': 1.2}                                                                                                      
{'loss': 0.0122, 'grad_norm': 1.973343849182129, 'learning_rate': 1.1890507949552741e-05, 'epoch': 1.22}                                                                                                        
{'loss': 0.0109, 'grad_norm': 0.5167921781539917, 'learning_rate': 1.1785146084226275e-05, 'epoch': 1.23}                                                                                                       
{'loss': 0.0128, 'grad_norm': 0.23261980712413788, 'learning_rate': 1.1679784218899813e-05, 'epoch': 1.25}                                                                                                      
{'loss': 0.0107, 'grad_norm': 0.2177204042673111, 'learning_rate': 1.1574633077304e-05, 'epoch': 1.26}                                                                                                          
